seller_id,late_count,late_rate,avg_delay,total_orders
41b39e28db005d9731d9d485a83b4c38,10,4.484304932735426,-17.75,187
0adac9fbd9a2b63cccaac4f8756c1ca8,6,4.477611940298507,-10.6,106
0241d4d5d36f10f80c644447315af0bd,11,4.471544715447155,-12.31,238
92eb0f42c21942b6552362b9b114707d,16,4.4692737430167595,-9.73,334
5a8e7d5003a1f221f9e1d6e411de7c23,8,4.4692737430167595,-11.78,137
1b4c3a6f53068f0b6944d2d005c9fc89,5,4.3478260869565215,-12.15,111
128639473a139ac0f3e5f5ade55873a5,24,4.332129963898916,-11.55,527
d50d79cb34e38265a8649c383dcffd48,3,4.285714285714286,-12.65,70
79ebd9a61bac3eaf882805ed4ecfa12a,6,4.285714285714286,-11.69,133
dee656f0f566ed1aa85bd137c943f08f,4,4.25531914893617,-13.46,92
dbb9b48c841a0e39e21f98e1a6b2ec3e,5,4.23728813559322,-11.16,108
a3a38f4affed601eb87a97788c949667,11,4.230769230769231,-14.01,251
2528513dd95219a6013d4d05176e391a,7,4.216867469879518,-11.59,160
7299e27ed73d2ad986de7f7c77d919fa,15,4.189944134078212,-11.95,335
6edacfd9f9074789dad6d62ba7950b9c,9,4.166666666666666,-10.98,205
0509040ea3fe50071181bbc359eb7738,4,4.166666666666666,-10.06,87
066a6914e1ebf3ea95a216c73a986b91,3,4.166666666666666,-16.15,66
7b07b3c7487f0ea825fc6df75abd658b,4,4.166666666666666,-10.35,91
81a1104df0f08b59c68aa5b03cfe398e,3,4.166666666666666,-13.04,72
db4350fd57ae30082dec7acbaacc17f9,6,4.137931034482759,-14.87,136
87142160b41353c4e5fca2360caf6f92,14,4.129793510324483,-14.29,305
0c7533c71df861ec58ad7ff999ed0e8d,3,4.10958904109589,-9.07,61
1c129092bf23f28a5930387c980c0dfc,9,4.10958904109589,-9.56,200
813348c996469b40f2e028d5429d3495,8,4.102564102564102,-10.21,172
e333046ce6517bd8bb510291d44f0130,3,4.054054054054054,-12.87,68
9d4db00d65d7760644ac0c14edb5fd86,4,4.040404040404041,-11.0,97
dbd66278cbfe1aa1000f90a217ca4695,4,4.040404040404041,-11.85,85
688756f717c462a206ad854c5027a64a,4,4.040404040404041,-6.98,81
1da3aeb70d7989d1e6d9b0e887f97c23,13,4.012345679012346,-10.98,261
25cf099de44674fde97473224f9d59ab,2,4.0,-12.23,50
94144541854e298c2d976cb893b81343,3,3.9473684210526314,-14.39,68
7008613ea464bad5cb9b83456e1e6a8f,6,3.9473684210526314,-13.49,123
080102cd0a76b09e0dcf55fcacc60e05,5,3.90625,-11.13,122
c33847515fa6305ce6feb1e818569f13,5,3.90625,-14.73,114
f7720c4fa8e3aba4546301ab80ea1f1b,3,3.896103896103896,-14.02,59
4d6d651bd7684af3fffabd5f08d12e5a,15,3.8560411311053984,-12.32,363
aafe36600ce604f205b86b5084d3d767,5,3.816793893129771,-12.46,129
d91fb3b7d041e83b64a00a3edfb37e4f,20,3.8095238095238098,-12.0,524
669ae81880e08f269a64487cfb287169,7,3.783783783783784,-13.64,161
7202e2ba20579a9bd1acb29e61fe71f6,2,3.7735849056603774,-11.44,51
9f505651f4a6abe901a56cdc21508025,16,3.755868544600939,-10.33,393
00fc707aaaad2d31347cf883cd2dfe10,5,3.7037037037037033,-14.83,103
9de4643a8dbde634fe55621059d92273,3,3.7037037037037033,-10.92,72
640e21a7d01df7614a3b4923e990d40c,5,3.6764705882352944,-9.58,115
282f23a9769b2690c5dda22e316f9941,4,3.669724770642202,-11.39,98
710e3548e02bc1d2831dfc4f1b5b14d4,5,3.64963503649635,-21.31,131
0db783cfcd3b73998abc6e10e59a102f,5,3.64963503649635,-12.42,132
2dee2ce60de9709b1a24083217181a1f,2,3.6363636363636362,-16.38,54
eeb6de78f79159600292e314a77cbd18,3,3.614457831325301,-16.23,82
701938c450705b8ae65fc923b70f35c7,4,3.6036036036036037,-11.05,74
a7f13822ceb966b076af67121f87b063,3,3.571428571428571,-16.17,73
750303a20e9c56b2a6bc45cdce0b897d,2,3.571428571428571,-11.76,53
ebd2d60905fb58271facef5596b620d3,3,3.5294117647058822,-10.58,82
e8b3a3a38279a82f0e5d006d5e5b7d2c,3,3.5294117647058822,-18.05,80
1a3df491d1c4f1589fc2b934ada68bf2,6,3.508771929824561,-12.31,160
1c68394e931a64f90ea236c5ea590300,6,3.508771929824561,-14.71,142
537eb890efff034a88679788b647c564,6,3.508771929824561,-11.74,158
376a891762bbdecbc02b4b6adec3fdda,2,3.4482758620689653,-14.56,57
c864036feaab8c1659f65ea4faebe1da,2,3.4482758620689653,-12.65,58
30a2f535bb48308f991d0b9ad4a8c4bb,3,3.4482758620689653,-12.2,71
3bdff180c7e1f6551a643b99c265a120,2,3.4482758620689653,-11.71,56
4e7c18b98d84e05cbae3ff0ff03846c2,3,3.4090909090909087,-12.49,81
062ce95fa2ad4dfaedfc79260130565f,2,3.389830508474576,-12.88,54
c6bda72e4dbf5c5866b13cb1810c6d03,2,3.389830508474576,-11.56,59
6b243f80ed07b10f0e8aa0f21a205f3c,3,3.3707865168539324,-13.72,79
0b90b6df587eb83608a64ea8b390cf07,7,3.349282296650718,-17.62,163
05ff92fedb5be47920fea08e501238b9,2,3.3333333333333335,-17.19,57
3078096983cf766a32a06257648502d1,2,3.278688524590164,-11.65,56
7178f9f4dd81dcef02f62acdf8151e01,7,3.255813953488372,-17.94,202
36a968b544695394e4e9d7572688598f,5,3.205128205128205,-11.69,148
2ff97219cb8622eaf3cd89b7d9c09824,3,3.1914893617021276,-8.65,87
de722cd6dad950a92b7d4f82673f8833,12,3.183023872679045,-15.42,337
9b013e03b2ab786505a1d3b5c0756754,7,3.1818181818181817,-9.41,170
febab0275244b9a49a623f0bd613ca2f,4,3.1746031746031744,-11.07,106
95e03ca3d4146e4011985981aeb959b9,6,3.1578947368421053,-14.49,172
cce6ab8d1682639fe45ab70234f1665f,2,3.125,-13.11,61
ff063b022a9a0aab91bad2c9088760b7,3,3.125,-11.32,94
1838dd9b8977065acf51d95e0053ea7a,2,3.076923076923077,-10.37,62
95f83f51203c626648c875dd41874c7f,2,3.076923076923077,-13.55,50
80e6699fe29150b372a0c8a1ebf7dcc8,3,3.061224489795918,-15.55,96
562fc2f2c2863ab7e79a9e4388a58a14,8,3.018867924528302,-12.5,255
53243585a1d6dc2643021fd1853d8905,12,3.0,-10.88,348
b76dba6c951ab00dc4edf0a1aa88037e,5,2.9940119760479043,-16.15,157
966cb4760537b1404caedd472cc610a5,2,2.9850746268656714,-14.8,67
aced59e9b31ef866a94f9e7f29d8d418,2,2.9850746268656714,-10.63,61
76d64c4aca3a7baf218bf93ef7fa768d,2,2.898550724637681,-14.78,64
1e8b33f18b4f7598d87f5cbee2282cc2,4,2.877697841726619,-10.26,122
fcb5ace8bcc92f75707dc0f01a27d269,2,2.857142857142857,-8.51,59
b92e3c8f9738272ff7c59e111e108d7c,2,2.857142857142857,-42.21,62
7722b1df1b0e383e000397b2c11e3e19,4,2.7777777777777777,-11.54,133
d94a40fd42351c259927028d163af842,3,2.7522935779816518,-13.48,100
116ccb1a1604bc88e4d234a8c23f33de,2,2.73972602739726,-10.07,61
aaed1309374718fdd995ee4c58c9dfcd,3,2.7027027027027026,-16.62,104
98dac6635aee4995d501a3972e047414,5,2.631578947368421,-11.01,89
25e6ffe976bd75618accfe16cefcbd0d,3,2.608695652173913,-13.86,106
9e6229250fedbe05838fef417b74e7fb,2,2.5974025974025974,-14.84,73
5f1dc28029d2c244352a68107ec2b542,2,2.564102564102564,-15.26,62
